"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count	Population	Age-Adjusted Rate
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Wisconsin"	"55"	3843	5669264	60.8
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Wyoming"	"56"	306	559851	52.4
	"Lung and Bronchus"	"22030"	"2009"	"2009"	"Puerto Rico"	"72"	759	3740410	18.1
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Alabama"	"01"	4033	4785161	73.2
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Alaska"	"02"	361	714021	68.0
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Arizona"	"04"	3663	6408208	51.7
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Arkansas"	"05"	2629	2922394	76.7
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"California"	"06"	17287	37334079	48.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Colorado"	"08"	2193	5048254	46.6
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Connecticut"	"09"	2657	3579717	63.6
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Delaware"	"10"	738	899791	70.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"District of Columbia"	"11"	352	605126	60.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Florida"	"12"	16547	18849890	65.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Georgia"	"13"	6071	9713454	66.6
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Hawaii"	"15"	732	1363980	45.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Idaho"	"16"	838	1570986	52.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Illinois"	"17"	9286	12841249	69.2
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Indiana"	"18"	5314	6490590	75.8
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Iowa"	"19"	2397	3050694	66.1
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Kansas"	"20"	1939	2858824	62.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Kentucky"	"21"	4915	4347937	100.7
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Louisiana"	"22"	3500	4544951	73.7
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Maine"	"23"	1292	1327695	74.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Maryland"	"24"	3655	5788409	60.6
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Massachusetts"	"25"	4949	6565036	66.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Michigan"	"26"	8099	9877369	71.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Minnesota"	"27"	3242	5310903	57.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Mississippi"	"28"	2473	2970316	77.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Missouri"	"29"	5212	5996052	75.7
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Montana"	"30"	691	990643	57.9
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Nebraska"	"31"	1223	1830025	60.8
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Nevada"	"32"	1654	2703440	61.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"New Hampshire"	"33"	1071	1316708	70.1
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"New Jersey"	"34"	5764	8803881	58.8
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"New Mexico"	"35"	959	2064741	42.8
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"New York"	"36"	13471	19402920	62.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"North Carolina"	"37"	7540	9558979	72.8
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"North Dakota"	"38"	439	674530	56.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Ohio"	"39"	9708	11540766	72.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Oklahoma"	"40"	2933	3759596	70.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Oregon"	"41"	2606	3837972	59.0
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Pennsylvania"	"42"	10655	12712014	67.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Rhode Island"	"44"	832	1053219	67.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"South Carolina"	"45"	3700	4635894	69.9
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"South Dakota"	"46"	582	816299	61.6
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Tennessee"	"47"	5627	6356585	78.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Texas"	"48"	13046	25244363	58.4
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Utah"	"49"	581	2775426	27.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Vermont"	"50"	545	625984	71.8
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Virginia"	"51"	5277	8025787	63.5
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Washington"	"53"	4399	6743060	63.3
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"West Virginia"	"54"	1953	1854225	80.6
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Wisconsin"	"55"	4082	5690204	63.7
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Wyoming"	"56"	304	564516	51.2
	"Lung and Bronchus"	"22030"	"2010"	"2010"	"Puerto Rico"	"72"	713	3721526	16.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Alabama"	"01"	4014	4801108	71.8
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Alaska"	"02"	349	722720	65.1
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Arizona"	"04"	3852	6468732	52.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Arkansas"	"05"	2688	2938538	77.4
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"California"	"06"	16672	37700034	45.4
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Colorado"	"08"	2219	5119480	45.4
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Connecticut"	"09"	2645	3589759	63.0
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Delaware"	"10"	815	907916	76.0
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"District of Columbia"	"11"	338	620472	57.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Florida"	"12"	16275	19105533	62.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Georgia"	"13"	6279	9812280	67.4
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Hawaii"	"15"	764	1378227	47.2
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Idaho"	"16"	858	1584134	52.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Illinois"	"17"	9369	12861882	68.4
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Indiana"	"18"	5380	6516845	75.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Iowa"	"19"	2366	3065389	63.9
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Kansas"	"20"	1985	2869917	62.9
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Kentucky"	"21"	4752	4367882	95.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Louisiana"	"22"	3436	4575381	70.8
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Maine"	"23"	1230	1328257	69.8
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Maryland"	"24"	3680	5844171	59.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Massachusetts"	"25"	5017	6611797	66.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Michigan"	"26"	7954	9876589	68.9
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Minnesota"	"27"	3130	5348119	53.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Mississippi"	"28"	2448	2977999	74.8
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Missouri"	"29"	5302	6010587	76.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Montana"	"30"	740	997746	60.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Nebraska"	"31"	1179	1842383	57.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"New Hampshire"	"33"	1077	1318344	69.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"New Jersey"	"34"	5978	8842934	59.9
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"New Mexico"	"35"	975	2078226	42.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"New York"	"36"	13771	19523202	62.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"North Carolina"	"37"	7482	9651025	70.1
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"North Dakota"	"38"	480	685326	60.2
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Ohio"	"39"	9689	11545442	71.4
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Oklahoma"	"40"	3087	3786626	73.0
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Oregon"	"41"	2782	3868509	62.0
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Pennsylvania"	"42"	10755	12745202	67.2
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Rhode Island"	"44"	818	1051856	65.5
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"South Carolina"	"45"	3711	4672733	68.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"South Dakota"	"46"	555	824289	57.9
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Tennessee"	"47"	5587	6398408	76.1
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Texas"	"48"	12821	25654464	55.3
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Utah"	"49"	655	2816440	29.8
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Vermont"	"50"	527	626687	67.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Virginia"	"51"	5168	8110783	60.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Washington"	"53"	4292	6823229	60.0
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"West Virginia"	"54"	2027	1854948	82.8
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Wisconsin"	"55"	4132	5709720	62.7
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Wyoming"	"56"	285	567768	47.2
	"Lung and Bronchus"	"22030"	"2011"	"2011"	"Puerto Rico"	"72"	769	3678736	17.5
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Alabama"	"01"	4029	4816089	70.2
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Alaska"	"02"	341	731228	58.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Arizona"	"04"	3824	6553262	50.4
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Arkansas"	"05"	2712	2949499	76.4
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"California"	"06"	16861	38056055	44.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Colorado"	"08"	2325	5191731	45.5
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Connecticut"	"09"	2664	3593541	61.9
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Delaware"	"10"	772	917099	69.4
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"District of Columbia"	"11"	383	635342	62.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Florida"	"12"	16807	19352021	62.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Georgia"	"13"	6642	9917639	68.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Hawaii"	"15"	776	1392641	45.7
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Idaho"	"16"	899	1596097	52.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Illinois"	"17"	9326	12875167	66.9
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Indiana"	"18"	5250	6538283	72.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Iowa"	"19"	2365	3076636	63.1
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Kansas"	"20"	1931	2886281	59.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Kentucky"	"21"	4807	4382667	94.3
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Louisiana"	"22"	3565	4603676	70.9
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Maine"	"23"	1370	1328888	75.2
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Maryland"	"24"	3687	5890740	58.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Massachusetts"	"25"	5019	6657780	65.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Michigan"	"26"	7838	9886879	66.4
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Minnesota"	"27"	3313	5380443	55.3
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Mississippi"	"28"	2532	2985660	76.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Missouri"	"29"	5469	6025468	76.4
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Montana"	"30"	694	1005157	54.2
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Nebraska"	"31"	1263	1855973	60.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Nevada"	"32"	1724	2754874	59.2
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"New Hampshire"	"33"	1031	1321393	65.3
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"New Jersey"	"34"	5844	8874893	57.5
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"New Mexico"	"35"	980	2084792	41.0
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"New York"	"36"	13632	19606981	60.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"North Carolina"	"37"	7674	9747021	69.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"North Dakota"	"38"	480	702265	58.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Ohio"	"39"	9536	11551783	68.7
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Oklahoma"	"40"	3056	3817679	70.9
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Oregon"	"41"	2691	3899444	57.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Pennsylvania"	"42"	10554	12772789	64.7
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Rhode Island"	"44"	921	1052393	71.1
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"South Carolina"	"45"	3897	4721341	69.1
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"South Dakota"	"46"	560	834631	56.7
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Tennessee"	"47"	5732	6455469	75.9
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Texas"	"48"	13336	26089741	55.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Utah"	"49"	695	2856343	30.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Vermont"	"50"	530	626398	64.4
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Virginia"	"51"	5463	8193374	62.1
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Washington"	"53"	4404	6897292	59.8
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"West Virginia"	"54"	1999	1856283	79.6
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Wisconsin"	"55"	4076	5726422	60.5
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Wyoming"	"56"	309	577080	48.5
	"Lung and Bronchus"	"22030"	"2012"	"2012"	"Puerto Rico"	"72"	808	3634487	18.2
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Alabama"	"01"	3925	4830533	67.5
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Alaska"	"02"	323	737442	54.8
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Arizona"	"04"	3906	6630799	49.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Arkansas"	"05"	2887	2957957	79.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"California"	"06"	16778	38414128	43.1
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Colorado"	"08"	2263	5271132	42.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Connecticut"	"09"	2747	3597168	62.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Delaware"	"10"	824	925353	70.5
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"District of Columbia"	"11"	340	649540	55.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Florida"	"12"	16527	19594467	59.8
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Georgia"	"13"	6489	9991562	64.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Hawaii"	"15"	855	1408765	50.0
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Idaho"	"16"	839	1612785	47.8
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Illinois"	"17"	9140	12889580	64.0
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Indiana"	"18"	5416	6570518	72.8
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Iowa"	"19"	2416	3092224	63.3
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Kansas"	"20"	2060	2894630	63.2
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Kentucky"	"21"	4912	4398500	94.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Louisiana"	"22"	3509	4627491	68.5
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Maine"	"23"	1400	1328778	75.5
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Maryland"	"24"	3768	5936040	57.6
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Massachusetts"	"25"	4964	6708810	62.7
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Michigan"	"26"	7676	9900506	63.6
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Minnesota"	"27"	3496	5420541	56.8
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Mississippi"	"28"	2610	2990976	76.7
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Missouri"	"29"	5426	6043708	74.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Montana"	"30"	765	1014402	58.6
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Nebraska"	"31"	1320	1869300	62.1
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Nevada"	"32"	1818	2790366	60.3
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"New Hampshire"	"33"	1087	1322660	65.7
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"New Jersey"	"34"	5993	8907384	57.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"New Mexico"	"35"	980	2086890	40.3
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"New York"	"36"	13702	19691032	60.2
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"North Carolina"	"37"	7952	9845432	70.3
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"North Dakota"	"38"	466	723626	57.0
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Ohio"	"39"	9713	11572232	68.8
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Oklahoma"	"40"	3113	3853405	70.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Oregon"	"41"	2716	3928030	56.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Pennsylvania"	"42"	10744	12783536	64.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Rhode Island"	"44"	922	1052856	71.3
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"South Carolina"	"45"	3842	4768498	66.1
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"South Dakota"	"46"	615	845270	60.9
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Tennessee"	"47"	5812	6496130	75.5
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Texas"	"48"	13194	26500674	53.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Utah"	"49"	619	2903685	26.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Vermont"	"50"	500	627129	60.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Virginia"	"51"	5298	8267875	58.6
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Washington"	"53"	4253	6973281	55.7
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"West Virginia"	"54"	2078	1852985	81.4
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Wisconsin"	"55"	4145	5743653	60.2
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Wyoming"	"56"	262	583131	39.6
	"Lung and Bronchus"	"22030"	"2013"	"2013"	"Puerto Rico"	"72"	843	3593079	18.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Alabama"	"01"	3909	4846411	65.0
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Alaska"	"02"	336	737046	54.5
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Arizona"	"04"	3861	6728783	47.1
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Arkansas"	"05"	2848	2966835	77.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"California"	"06"	16879	38792291	42.0
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Colorado"	"08"	2332	5355588	42.2
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Connecticut"	"09"	2632	3594762	59.2
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Delaware"	"10"	806	935968	67.3
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"District of Columbia"	"11"	315	659836	50.5
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Florida"	"12"	16272	19905569	57.0
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Georgia"	"13"	6543	10097132	63.0
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Hawaii"	"15"	768	1420257	43.7
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Idaho"	"16"	902	1634806	48.8
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Illinois"	"17"	9528	12882189	65.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Indiana"	"18"	5232	6597880	68.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Iowa"	"19"	2444	3109481	63.3
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Kansas"	"20"	1987	2902507	60.1
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Kentucky"	"21"	4870	4412617	91.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Louisiana"	"22"	3573	4648990	68.8
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Maine"	"23"	1361	1330256	72.1
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Maryland"	"24"	3720	5975346	55.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Massachusetts"	"25"	4965	6755124	61.5
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Michigan"	"26"	7811	9916306	63.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Minnesota"	"27"	3305	5457125	52.3
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Mississippi"	"28"	2575	2993443	73.9
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Missouri"	"29"	5349	6063827	71.9
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Montana"	"30"	711	1023252	52.8
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Nebraska"	"31"	1223	1882980	56.9
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Nevada"	"32"	1637	2838281	51.7
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"New Hampshire"	"33"	1041	1327996	60.9
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"New Jersey"	"34"	5841	8938844	55.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"New Mexico"	"35"	960	2085567	38.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"New York"	"36"	13369	19748858	57.5
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"North Carolina"	"37"	7876	9940387	67.3
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"North Dakota"	"38"	491	740040	58.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Ohio"	"39"	9649	11596998	67.0
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Oklahoma"	"40"	3132	3879610	69.5
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Oregon"	"41"	2615	3971202	53.0
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Pennsylvania"	"42"	10662	12793767	63.2
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Rhode Island"	"44"	911	1054907	69.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"South Carolina"	"45"	3856	4829160	64.2
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"South Dakota"	"46"	580	853304	56.3
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Tennessee"	"47"	5825	6547779	73.8
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Texas"	"48"	13224	26979078	51.7
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Utah"	"49"	616	2944498	25.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Vermont"	"50"	508	626767	61.3
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Virginia"	"51"	5342	8328098	57.5
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Washington"	"53"	4376	7063166	55.4
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"West Virginia"	"54"	1998	1848751	77.6
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Wisconsin"	"55"	4082	5759432	57.9
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Wyoming"	"56"	303	584304	45.2
	"Lung and Bronchus"	"22030"	"2014"	"2014"	"Puerto Rico"	"72"	806	3534888	17.5
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2014 Incidence"
"Query Parameters:"
"Title:"
"Age Groups: All"
"Cancer Sites: Lung and Bronchus"
"Ethnicity: All"
"Race: All"
"Sex: All"
"States and Puerto Rico: All"
"Year: All, 1999 to 2014"
"Group By: Cancer Sites, Year, States and Puerto Rico"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2014.html for more information."
"---"
"Query Date: Dec 12, 2017 10:40:44 AM"
"---"
"Suggested Citation: United States Cancer Statistics: 1999 - 2014 Incidence, WONDER Online Database. United States Department of"
"Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2016. Accessed at"
"http://wonder.cdc.gov/cancer-v2014.html on Dec 12, 2017 10:40:44 AM"
"---"
Messages:
"1. Rows with zero Count are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. 'Not Applicable' is displayed for Population when it is not available, and for Age Adjusted Rates, Crude Rates, 95%"
"Confidence Interval, and Standard Error when they cannot be calculated due to lack of denominator population."
"2. 'Missing' is displayed for a combination of states/territories/MSAs and years that did not meet the United States Cancer"
"Statistics (USCS) publication standard or did not allow permission for their data to be used."
"3. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate"
"values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be"
"misleading."
